unigram,gatsby,alice,austen
grey,18.0,1.0,0.0
mean,18,10,33
give,18,12,123
passed,18,5,61
friend,18,3,112
call,18,9,28
far,18,13,59
better,18,14,92
behind,18,13,14
opened,17,10,18
am,17,15,318
find,17,21,59
happened,17,7,24
whole,17,13,79
answered,17,4,31
somebody,17,7,8
sitting,17,10,21
used,17,12,22
fell,17,6,2
dress,17.0,0.0,5.0
shook,17,9,11
several,17,4,23
sure,17,24,103
wo,17,24,1
green,17,4,3
rain,17.0,0.0,4.0
times,17,6,20
past,17,3,10
myself,17,7,96
remember,16,14,22
being,16,19,176
sent,16,2,22
office,16.0,0.0,6.0
talked,16.0,0.0,38.0
bed,16,1,6
arrived,16,1,15
bought,16.0,0.0,4.0
believe,16,9,88
bright,16,8,1
standing,16,1,13
porch,16.0,0.0,0.0
coat,16.0,0.0,4.0
same,16,24,69
outside,16.0,4.0,0.0
women,16.0,0.0,19.0
nodded,16.0,1.0,0.0
live,16,8,21
set,16,14,31
insisted,16.0,0.0,1.0
street,16.0,0.0,19.0
waited,16,11,7
mckee,16.0,0.0,0.0
least,15,8,65
short,15,4,43
except,15,4,22
drove,15.0,0.0,11.0
enough,15,17,107
reached,15.0,0.0,18.0
arm,15,15,4
leaned,15.0,0.0,0.0
laughed,15,2,11
quickly,15,2,4
ask,15,11,31
getting,15,22,7
expression,15,1,22
close,15,13,9
words,15,21,29
immediately,15,3,61
speak,15,14,66
glanced,15.0,1.0,0.0
followed,15,8,25
suppose,15,14,48
wait,15,1,17
already,15,2,28
train,15.0,0.0,1.0
stared,15.0,0.0,5.0
hall,15,9,12
suggested,14.0,0.0,5.0
care,14,4,35
book,14,11,18
family,14,1,152
longer,14,3,44
really,14,13,89
husband,14.0,0.0,50.0
mouth,14,10,1
minutes,14,11,37
pale,14,4,4
floor,14.0,3.0,0.0
held,14,4,5
cars,14.0,0.0,0.0
tomorrow,14.0,1.0,0.0
cool,14,2,3
hundred,14,1,6
pretty,14,1,24
explained,14,1,9
stop,14,6,4
george,14.0,0.0,8.0
week,14,3,29
suit,14,3,7
cold,14,1,18
catherine,14.0,0.0,126.0
crazy,14.0,1.0,0.0
policeman,14.0,0.0,0.0
someone,14,1,1
understand,14,6,30
oxford,14.0,0.0,1.0
heat,14.0,0.0,0.0
person,13,4,51
certain,13,3,54
war,13.0,0.0,1.0
trees,13,7,5
ran,13,16,13
pulled,13.0,1.0,0.0
both,13,14,70
sight,13,10,17
forward,13.0,0.0,28.0
shoulder,13.0,4.0,0.0
nice,13,6,5
deep,13,7,7
wind,13,2,1
picture,13,1,14
whispered,13,5,1
sun,13.0,2.0,0.0
sometimes,13,5,36
effort,13.0,0.0,5.0
leaving,13,1,18
continued,13,9,46
boy,13,2,3
taking,13,5,19
sit,13,8,15
sister,13,9,216
lay,13,4,6
change,13,14,24
laughter,13,1,2
late,13,6,19
lunch,13.0,0.0,0.0
cody,13.0,0.0,0.0
turning,12,12,13
since,12,4,59
curious,12,19,5
forever,12.0,0.0,0.0
known,12,1,57
single,12.0,0.0,12.0
finally,12.0,0.0,7.0
faces,12,5,3
less,12,4,78
pool,12,10,1
run,12,4,11
added,12,23,64
grass,12.0,4.0,0.0
raised,12,2,6
surprised,12,7,35
remarked,12,10,1
drink,12,7,7
somewhere,12,3,4
hurried,12,11,10
